item,item_text,response_display,missing,incorrect,correct,seen
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",1,2,0,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",10,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",14,0,2,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",18,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",20,1,2,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",24,3,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",28,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",30,0,2,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",34,1,2,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",35,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",37,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",4,25,0,28,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",48,2,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",50,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",52,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",60,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",64,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",65,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",67,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",7,1,0,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",71,0,1,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",73,0,2,0,0
crt_1_1_num,"Mark und Adam sind insgesamt 28 Jahre alt. Mark ist 20 Jahre älter als Adam. Wie alt ist Adam in Jahren?

Bitte nur die Ziffer(n) angeben. - Alter:",8,106,184,0,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",1,3,8,0,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",10,92,0,118,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",1000,1,0,0,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",2,2,0,0,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",250,1,2,0,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",2500,2,0,0,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",5,4,9,0,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",50,64,69,0,0
crt_2_1_num,"Wenn 10 Drucker 10 Sekunden brauchen, um 10 Seiten Papier auszudrucken, wie viele Sekunden brauchen dann 50 Drucker, um 50 Seiten Papier auszudrucken? 

Bitte nur die Ziffer(n) angeben. - Sekunden:",500,1,1,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",1,1,0,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",10,10,10,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",1200,0,1,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",15,0,1,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",19,0,1,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",2,3,0,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",20,76,109,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",23,1,0,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",3,1,0,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",30,2,1,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",39,63,0,78,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",4,1,0,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",40,6,2,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",41,0,1,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",49,0,1,0,0
crt_3_4_num,"Auf einem Laib Brot ist ein Schimmelfleck. Jeden Tag verdoppelt sich die Größe des Flecks. Wenn es 40 Tage dauert, bis der Fleck den ganzen Brotlaib bedeckt, wie viele Tage würde es dann dauern, bis der Fleck die Hälfte des Brotes bedeckt?

Bitte nur die Ziffer(n) angeben. - Anzahl Tage:",5,1,1,0,0
